# {'participant': 'juan-carlos', 'session': 'baseline', 'EEG': 'Yes', 'date': '2022_févr._01_1646', 'expName': 'FT-RSGT-rTMS', 'frameRate': 60.00640937600146}
subj, EEG,trial,time, stimulus, response
juan-carlos,True,132,110.6567881107,tap,s
juan-carlos,True,133,110.7332620621,stimulus,
juan-carlos,True,133,111.3507440090,tap,l
juan-carlos,True,134,111.4832770824,stimulus,
juan-carlos,True,134,112.1499841213,tap,s
juan-carlos,True,135,112.2332930565,stimulus,
juan-carlos,True,135,112.9005570412,tap,s
juan-carlos,True,136,112.9833080769,stimulus,
juan-carlos,True,136,113.6269030571,tap,l
juan-carlos,True,137,113.7333259583,stimulus,
juan-carlos,True,137,114.4018540382,tap,s
juan-carlos,True,138,114.4833409786,stimulus,
juan-carlos,True,138,115.1322939396,tap,s
juan-carlos,True,139,115.2333579063,stimulus,
juan-carlos,True,139,115.8583760262,tap,l
juan-carlos,True,140,115.9833679199,stimulus,
juan-carlos,True,140,116.6538219452,tap,s
juan-carlos,True,141,116.7333960533,stimulus,
juan-carlos,True,141,117.3233880997,tap,s
juan-carlos,True,142,117.4834210873,stimulus,
juan-carlos,True,142,118.0455911160,tap,l
juan-carlos,True,143,118.2334389687,stimulus,
juan-carlos,True,143,118.9463748932,tap,s
juan-carlos,True,144,118.9834599495,stimulus,
juan-carlos,True,144,119.6645140648,tap,s
juan-carlos,True,145,119.7334780693,stimulus,
juan-carlos,True,145,120.3908030987,tap,l
juan-carlos,True,146,120.4834990501,stimulus,
juan-carlos,True,146,121.1291921139,tap,s
juan-carlos,True,147,121.2335219383,stimulus,
juan-carlos,True,147,121.7907319069,tap,s
juan-carlos,True,148,121.9835369587,stimulus,
juan-carlos,True,148,122.5170779228,tap,l
juan-carlos,True,149,122.7335500717,stimulus,
juan-carlos,True,149,123.2675960064,tap,s
juan-carlos,True,150,123.4835669994,stimulus,
juan-carlos,True,150,124.0142090321,tap,s
juan-carlos,True,151,124.2335870266,stimulus,
juan-carlos,True,151,124.7120809555,tap,l
juan-carlos,True,152,124.9836049080,stimulus,
juan-carlos,True,152,125.5073449612,tap,s
juan-carlos,True,153,125.7336189747,stimulus,
juan-carlos,True,153,126.2093141079,tap,s
juan-carlos,True,154,126.4836399555,stimulus,
juan-carlos,True,154,126.9559350014,tap,l
juan-carlos,True,155,127.2336559296,stimulus,
juan-carlos,True,155,127.7145729065,tap,s
juan-carlos,True,156,127.9836709499,stimulus,
juan-carlos,True,156,128.5261349678,tap,s
juan-carlos,True,157,128.7336590290,stimulus,
juan-carlos,True,157,129.2768189907,tap,l
juan-carlos,True,158,129.4836959839,stimulus,
juan-carlos,True,158,130.0355570316,tap,s
juan-carlos,True,159,130.2337229252,stimulus,
juan-carlos,True,159,130.7415940762,tap,s
juan-carlos,True,160,130.9837419987,stimulus,
juan-carlos,True,160,131.5247550011,tap,l
juan-carlos,True,161,131.7337601185,stimulus,
juan-carlos,True,161,132.2875669003,tap,s
juan-carlos,True,162,132.4837729931,stimulus,
juan-carlos,True,162,133.0624740124,tap,s
juan-carlos,True,163,133.2337870598,stimulus,
juan-carlos,True,163,133.8293790817,tap,l
juan-carlos,True,164,133.9838049412,stimulus,
juan-carlos,True,164,134.5799570084,tap,s
juan-carlos,True,165,134.7338230610,stimulus,
juan-carlos,True,165,135.2777860165,tap,s
juan-carlos,True,166,135.4838309288,stimulus,
juan-carlos,True,166,135.9311709404,tap,l
juan-carlos,True,167,136.2338550091,stimulus,
juan-carlos,True,167,136.7588219643,tap,s
juan-carlos,True,168,136.9838740826,stimulus,
juan-carlos,True,168,137.5257029533,tap,s
juan-carlos,True,169,137.7338860035,stimulus,
juan-carlos,True,169,138.2682700157,tap,l
juan-carlos,True,170,138.4839119911,stimulus,
juan-carlos,True,170,139.0797080994,tap,s
juan-carlos,True,171,148.3467741013,probe_task,3
juan-carlos, True,171,159.4469509125,probe_intention,1
juan-carlos,True,171,193.5292840004,probe_distraction,1
juan-carlos,True,172,197.3127839565,stimulus,
juan-carlos,True,172,197.3138620853,tap,s
juan-carlos,True,172,198.0132889748,tap,s
juan-carlos,True,173,198.0626180172,stimulus,
juan-carlos,True,173,198.6787710190,tap,l
juan-carlos,True,174,198.8126299381,stimulus,
juan-carlos,True,175,199.5626490116,stimulus,
juan-carlos,True,175,199.5672769547,tap,s
juan-carlos,True,175,200.1880879402,tap,s
juan-carlos,True,176,200.3126668930,stimulus,
