# {'participant': 'monica', 'session': 'N', 'EEG': 'No', 'date': '2022_Feb_16_1511', 'expName': 'FT-RSGT', 'frameRate': 60.01777187268586}
subj, EEG,trial,time, stimulus, response
monica,False,203,190.2480098330,stimulus,
monica, False,203,190.6187137310,tap,l
monica,False,204,190.9981527180,stimulus,
monica, False,204,191.3432674970,tap,s
monica,False,205,191.7482929250,stimulus,
monica, False,205,192.2330914820,tap,s
monica,False,206,192.4983699100,stimulus,
monica, False,206,193.0092483380,tap,s
monica,False,207,193.2484708890,stimulus,
monica, False,207,193.7274654350,tap,s
monica,False,208,193.9985588250,stimulus,
monica, False,208,194.3948891010,tap,l
monica,False,209,194.7486340670,stimulus,
monica, False,209,195.2193152130,tap,l
monica,False,210,195.4987189370,stimulus,
monica, False,210,195.9699254690,tap,l
monica,False,211,196.2488002460,stimulus,
monica, False,211,196.6741753670,tap,l
monica,False,212,196.9988719800,stimulus,
monica, False,212,197.4589315100,tap,l
monica,False,213,197.7489746830,stimulus,
monica, False,213,198.2719846030,tap,l
monica,False,214,198.4991070300,stimulus,
monica, False,214,198.9306626440,tap,s
monica,False,215,199.2492000690,stimulus,
monica, False,215,199.7912481200,tap,s
monica,False,216,199.9992720070,stimulus,
monica, False,216,200.4116746780,tap,l
monica,False,217,200.7494096990,stimulus,
monica, False,217,201.2149050510,tap,l
monica,False,218,201.4994932770,stimulus,
monica, False,218,201.9435717480,tap,l
monica,False,219,202.2495813790,stimulus,
monica, False,219,202.6568420420,tap,s
monica,False,220,202.9996989820,stimulus,
monica, False,220,203.4486865550,tap,s
monica,False,221,203.7498438610,stimulus,
monica, False,221,204.1508485950,tap,s
monica,False,222,204.4999839920,stimulus,
monica, False,222,204.8696697000,tap,s
monica,False,223,205.2500822030,stimulus,
monica, False,223,205.6289003950,tap,s
monica,False,224,206.0002109840,stimulus,
monica, False,224,206.3773089920,tap,s
monica,False,225,206.7503431810,stimulus,
monica, False,225,207.1655883880,tap,s
monica,False,226,207.5004184070,stimulus,
monica, False,226,207.9144220820,tap,s
